train_no,train_name,source_station_name,destination_station_name,departure_time,arrival_time,day_of_departure,day_of_arrival,distance
97139,K117,CST-MUMBAI,LONAVLA,20:52:00,22:21:00,Thursday,Thursday,545
97140,CK8,LONAVLA,KURLA,20:52:00,21:52:00,Sunday,Sunday,282
97141,DK35,DADAR,LONAVLA,21:17:00,22:29:00,Tuesday,Tuesday,370
97142,K130,LONAVLA,CST-MUMBAI,21:04:00,22:35:00,Wednesday,Wednesday,712
97143,DK37,DADAR,LONAVLA,21:42:00,22:53:00,Friday,Friday,370
97144,K132,LONAVLA,CST-MUMBAI,21:20:00,22:48:00,Saturday,Saturday,712
97145,DK39,DADAR,LONAVLA,22:03:00,23:13:00,Sunday,Sunday,370
97146,K134,LONAVLA,CST-MUMBAI,22:06:00,23:35:00,Saturday,Saturday,712
97147,K123,CST-MUMBAI,LONAVLA,21:58:00,23:26:00,Saturday,Saturday,545
97148,CK10,LONAVLA,KURLA,22:26:00,23:25:00,Sunday,Sunday,282
97149,K125,CST-MUMBAI,LONAVLA,22:06:00,23:34:00,Saturday,Saturday,545
97151,K127,CST-MUMBAI,LONAVLA,22:16:00,23:45:00,Friday,Friday,545
97153,K129,CST-MUMBAI,LONAVLA,22:24:00,23:53:00,Monday,Monday,545
97155,DK41,DADAR,LONAVLA,22:52:00,00:01:00,Wednesday,Wednesday,370
97201,DL1,CST-MUMBAI,DOMBIVLI,06:20:00,07:38:00,Saturday,Saturday,443
97202,DL2,DOMBIVLI,CST-MUMBAI,05:57:00,07:16:00,Wednesday,Wednesday,595
97203,DL3,CST-MUMBAI,DOMBIVLI,06:32:00,07:50:00,Thursday,Thursday,443
97204,DL4,DOMBIVLI,CST-MUMBAI,07:29:00,08:50:00,Tuesday,Tuesday,595
97205,DL5,CST-MUMBAI,DOMBIVLI,07:16:00,08:34:00,Tuesday,Tuesday,443
97206,DL6,DOMBIVLI,CST-MUMBAI,07:47:00,09:07:00,Thursday,Thursday,595
97207,DL7,CST-MUMBAI,DOMBIVLI,07:36:00,08:54:00,Wednesday,Wednesday,443
97208,DL10,DOMBIVLI,CST-MUMBAI,08:41:00,10:02:00,Wednesday,Wednesday,595
97209,DL9,CST-MUMBAI,DOMBIVLI,08:20:00,09:38:00,Wednesday,Wednesday,443
97210,DL12,DOMBIVLI,CST-MUMBAI,09:05:00,10:26:00,Thursday,Thursday,595
97211,DL11,CST-MUMBAI,DOMBIVLI,09:15:00,10:32:00,Friday,Friday,443
97212,DDL2,DOMBIVLI,DADAR,09:48:00,10:50:00,Sunday,Sunday,289
97213,DL13,CST-MUMBAI,DOMBIVLI,09:33:00,10:52:00,Tuesday,Tuesday,443
97214,DL14,DOMBIVLI,CST-MUMBAI,10:40:00,12:00:00,Friday,Friday,595
97215,DL15,CST-MUMBAI,DOMBIVLI,10:22:00,11:39:00,Tuesday,Tuesday,443
97216,DL16,DOMBIVLI,CST-MUMBAI,11:03:00,12:23:00,Sunday,Sunday,595
97217,DL17,CST-MUMBAI,DOMBIVLI,10:36:00,11:53:00,Friday,Friday,443
97218,DL18,DOMBIVLI,CST-MUMBAI,11:47:00,12:55:00,Saturday,Saturday,595
97219,DL19,DELHI JN.,DADAR,12:58:00,13:57:00,Sunday,Sunday,747
97220,DL20,DELHI JN.,KURLA,14:09:00,14:59:00,Monday,Monday,899
97221,DL21,DELHI JN.,KARMALI,15:20:00,16:01:00,Tuesday,Tuesday,1051
97222,DL22,DELHI JN.,AGRA CANTT,07:36:00,08:54:00,Wednesday,Wednesday,369
97223,DL23,DELHI JN.,AHMEDABAD,08:41:00,10:02:00,Wednesday,Wednesday,545
97224,DL24,DELHI JN.,AJMER JN.,08:20:00,09:38:00,Wednesday,Wednesday,712
97225,DL25,DELHI JN.,AJNI,09:05:00,10:26:00,Thursday,Thursday,545
97226,DL26,DELHI JN.,ALIGARH JN.,09:15:00,10:32:00,Friday,Friday,712
97227,DL27,DELHI JN.,ALIPUR DUAR JN.,09:48:00,10:50:00,Sunday,Sunday,370
97228,DL28,DELHI JN.,AMB ANDAURA,09:33:00,10:52:00,Tuesday,Tuesday,282
97229,DL29,DELHI JN.,AMBALA CANTT JN,10:40:00,12:00:00,Friday,Friday,545
97230,DL30,DELHI JN.,AMBERNATH,10:22:00,11:39:00,Tuesday,Tuesday,545
97231,DL31,DELHI JN.,AMRAVATI,11:03:00,12:23:00,Sunday,Sunday,369
97232,DL32,DELHI JN.,AMRITSAR JN.,10:36:00,11:53:00,Friday,Friday,370
97233,DL33,DELHI JN.,ASANSOL MAIN,11:47:00,12:55:00,Saturday,Saturday,712
97234,DL34,DELHI JN.,ATARI JN,12:58:00,13:57:00,Sunday,Sunday,370
97235,DL35,DELHI JN.,AZAMGARH,14:09:00,14:59:00,Monday,Monday,712
97236,DL36,DELHI JN.,BADLAPUR,15:20:00,16:01:00,Tuesday,Tuesday,545
